Composition,d(mm),Temperature,Hardness(HV),Toughness(Mpa.m^(-1/2))
WC-10Co,2.8,1480,1225,16.8
WC-10Co,3.2,1480,1200,18.8
WC-10Co,4.1,1480,1190,20.3
WC-10Co,3,1480,1205,17.6
WC-10Co,2.4,1480,1260,16.2
WC-8Co,1.9,1400,1360,14.8
WC-8Co,1.9,1400,1232,14.1
WC-8Co,1.7,1400,1273,13.7
WC-8Co,1.6,1400,1306,13.5
WC-8Co,2.2,1400,1263,12.1
WC-10Co,0.7,1390,1480,13.5
WC-10Co,0.9,1390,1350,14.4
WC-12Co,1.3,1400,1575,15.8
WC-3Co,2,1520,2010,6.8
WC-4.5Co,1.8,1480,2110,7.8
WC-11.5Co,1.3,1420,1890,9.8
WC-11.5Co,1.4,1420,1870,9.7
WC-14.5Co,1.5,1400,1750,10.3
WC-15.5Co,3.2,1400,1370,15.5
WC-10Co,0.1,1200,1845,10.2
WC-12Co,0.1,1100,2250,15.3
WC-12Co,0.1,1200,2200,11.9
WC-8Co,0.2,1100,1929,9.4
WC-6Co,0.4,1500,2025,9.2
WC-9.1Co,0.3,1150,1992,11.9
WC-10Co,0.3,1215,1780,11.1
WC-10Co,0.3,1215,1813,11
WC-10Co,0.3,1215,1884,11.5
WC-10Co,0.3,1215,1904,12.4
WC-10Co,0.3,1200,1886,13.5
WC-10Co,0.5,1200,1776,10.6
WC-10Co,0.4,1370,1756,11.6
WC-8Co,0.4,1370,1810,10.5
WC-12Co,0.4,1370,1633,12.2
WC-12Co,0.4,1240,1602,9.7
WC-10Co,0.1,1150,2050,11.3
WC-10Co,0.1,1150,2050,11.3
WC-11Co,0.5,1200,1828,12.2
WC-10Co,0.2,1150,1724,12
WC-10Co,0.2,1150,1976,13.3
WC-10Co,0.3,1180,1836,12.9
WC-10Co,0.5,1180,1608,14
WC-10Co,0.4,1000,1741,11.8
WC-12Co,0.3,1240,1601,9.3
WC-12Co,0.7,1050,1512,9.6
WC-12Co,0.8,1100,1450,10.9
WC-11Co,0.2,1200,1827,11.5
WC-6Co,7.5,1380,1110,15.6
WC-6Co,3.6,1380,1433,12.8
WC-6Co,1.5,1380,1578,10.6
WC-7Co,0.5,1380,1592,8.3
WC-16Co,5,1380,1127,15.1
WC-10Co,3.2,1380,1173,12.7
WC-10Co,0.5,1380,1523,8.6
WC-13Co,4,1380,1127,17.2
WC-14Co,2,1380,1173,15.1
WC-16Co,2.2,1380,1043,13.5
WC-18Co,1,1380,1101,12.8
WC-6Co,7.5,1380,1110,15.6
WC-6Co,3.5,1380,1373,12.8
WC-10Co,1.9,1380,1333,13.5
WC-14.5Co,1.5,1400,1650,9.4
WC-15.5Co,3.1,1400,1270,14.5
WC-4.5Co,1.9,1480,2090,7.1
WC-11.5Co,1.4,1420,1800,8.9
WC-15Co,0.1,1350,1868,8.1
WC-13Co,0.1,1350,1820,8.3
WC-12Co,0.8,1420,1326,12.5
WC-12Co,0.8,1400,1381,17.3
WC-12Co,0.9,1450,1386,13.5
WC-12Co,0.1,1450,1370,14
WC-12Co,0.7,1400,1630,10.2
WC-12Co,0.8,1400,1480,12.2
WC-12Co,0.4,1400,1675,10.8
WC-7Co,1.4,1380,1456,11.2
WC-7Co,1.5,1430,1447,11.3
WC-7Co,1.6,1430,1435,11.5
WC-7Co,2,1380,1363,12.8
WC-7Co,2.2,1430,1357,14
WC-7Co,2.3,1430,1347,13.7
WC-6Co,9.6,1450,996,16.9
WC-6Co,4.7,1450,1155,14.3
WC-6Co,6.5,1450,1164,17.8
WC-10Co,2.7,1500,1910,8.1
WC-7Co,1.4,1450,1476,12.1
WC-12Co,1,1400,1420,14.3
WC-10Co,0.4,1350,1362,14.2
WC-12Co,0.8,1400,1381,17.3
WC-12Co,0.3,1100,1800,10.7
WC-8Co,1.6,1400,1380,12.4
