Composition,Temperature,Hardness(HV),Toughness(Mpa.m^(-1/2))
,,,
WC- 4Co,1350,1450,10
WC- 4Co,1400,1590,11
WC- 4Co,1450,1775,12.25
WC- 2Co,1350,1465,9
WC- 2Co,1400,1650,10.5
WC- 2Co,1450,1825,11
WC- 12Co,1550,1397,13.7
WC- 12Co,1550,1488,12
WC- 12Co,1550,1363,13.4
WC- 12Co,1550,1466,15.1
WC- 8Co,1400,1900,12.5
WC- 8Co,1400,1750,12.8
WC-4Co,1400,1730,6.9
WC - 6Co,1400,1580,9.6
WC-9Co,1400,1420,12.3
WC-6Co,1400,1780,10.8
WC-8Co,1410,1900,8.5
WC-8Co,1450,1100,21
WC-6Co,1350,1076,16
WC-6Co,1400,1100,14
WC-6Co,1450,1200,17
WC-7Co,1450,1475,12
WC-8Co,1400,1575,16
WC-8Co,1400,1400,14
WC-10Co,1480,1225,16.8
WC-10Co,1480,1200,18.8
WC-10Co,1480,1190,20.3
WC-10Co,1480,1205,17.6
,1480,1260,16.2
WC-8Co,1400,1360,14.8
WC-8Co,1400,1232,14.1
WC-8Co,1400,1273,13.7
WC-8Co,1400,1306,13.5
WC-8Co,1400,1263,12.1
WC-10Co,1430,990,26
WC-10Co,1430,1184,18.3
WC-10Co,1430,1193,19.9
WC-10Co,1430,1330,14.5
WC-10Co,1390,1480,13.5
WC-10Co,1390,1350,14.4
WC-8Co,1400,1750,13
WC-8Co,1400,1700,13.8
WC-8Co,1400,1360,14.2
WC-8Co,1400,1615,14.5
WC-8Co,1400,1600,15.6
WC-12Co,1450,1943,14.4
WC-12Co,1450,1683,18.9
WC-10Co,1450,1067,17.3
WC-10Co,1450,1035,18.2
WC-10Co,1450,1084,19
WC-10Co,1450,1084,18.2
WC-10Co,1450,1101,17.8
WC-10Co,1450,1043,18.3
WC-10Co,1450,1101,18.3
WC-10Co,1450,1027,18.5
WC-10Co,1450,1067,16.6
WC-8Co,1390,1733,14.8
WC-8Co,1390,1728,15.2
WC-8Co,1390,1712,17
WC-8Co,1390,1784,18.3
WC-8Co,1390,1745,18.1
WC-8Co,1390,1768,23.1
WC-8Co,1390,1731,14.8
WC-8Co,1390,1722,15.2
WC-8Co,1390,1708,17
WC-8Co,1390,1755,17.4
WC-8Co,1390,1717,16.7
WC-8Co,1390,1733,21.6
WC-12Co,1400,1575,15.8
WC-18Co,1360,1264,23
WC-18Co,1360,1366,25
WC-18Co,1360,1377,27
